itemId,itemNm,brandNm,displayPrc,strikeOutPrc,siteNm,salestrNm,itemLnkd,itemImgUrl,itemOrdQty,itemOrdQtyTxt,page
1000819380510,하동녹차 명란김,,35982,,,S.COM몰,https://www.ssg.com/item/dealItemView.ssg?itemId=1000819380510&siteNo=6004&salestrNo=6005,https://sitem.ssgcdn.com/10/05/38/item/1000819380510_i1_500.jpg,286,주목할만한 상품,6
2097001915479,샤티넬 어드밴스 모근제거기 BRE710/10,필립스,78500,96000,이마트,emart NE.O.004,https://www.ssg.com/item/itemView.ssg?itemId=2097001915479&siteNo=6001&salestrNo=2551,https://sitem.ssgcdn.com/79/54/91/item/2097001915479_i1_500.jpg,0,주목할만한 상품,6
1000559747447,저온압착 100%통참깨 청년참기름350ml x 2병 외,전라도청년,23550,,,S.COM몰,https://www.ssg.com/item/dealItemView.ssg?itemId=1000559747447&siteNo=6004&salestrNo=6005,https://sitem.ssgcdn.com/47/74/74/item/1000559747447_i1_500.jpg,368,주목할만한 상품,6
1000800159473,구수한 수향미&향진주도 분도선택으로 더 건강하게!오분도미 칠분도미 쌀눈쌀,경성미가,35830,,,S.COM몰,https://www.ssg.com/item/dealItemView.ssg?itemId=1000800159473&siteNo=6001&salestrNo=6005,https://sitem.ssgcdn.com/73/94/15/item/1000800159473_i1_500.jpg,313,주목할만한 상품,6
1000809081733,[더조선호텔] 침구 냉감/인견 베딩 특가,조선호텔,31950,,,S.COM몰,https://www.ssg.com/item/dealItemView.ssg?itemId=1000809081733&siteNo=6004&salestrNo=6005,https://sitem.ssgcdn.com/33/17/08/item/1000809081733_i1_500.jpg,1099,주목할만한 상품,6
1000130568564,"볶음,육수용 멸치 ~30%",,9980,,,emart NE.O.004,https://www.ssg.com/item/dealItemView.ssg?itemId=1000130568564&siteNo=7009&salestrNo=2551,https://sitem.ssgcdn.com/64/85/56/item/1000130568564_i1_500.jpg,629,주목할만한 상품,6
1000697761458,스토우런던 프리미엄 레더 컬렉션,스토우런던,725120,,,S.COM몰,https://www.ssg.com/item/dealItemView.ssg?itemId=1000697761458&siteNo=6004&salestrNo=6005,https://sitem.ssgcdn.com/58/14/76/item/1000697761458_i1_500.jpg,0,주목할만한 상품,6
1000817528234,[CJ제일제당] 밸런스밀 프로틴쉐이크 할인,,14900,,,emart NE.O.004,https://www.ssg.com/item/dealItemView.ssg?itemId=1000817528234&siteNo=7009&salestrNo=2551,https://sitem.ssgcdn.com/34/82/52/item/1000817528234_i1_500.jpg,0,주목할만한 상품,6
1000570727490,신선직송 유기농/무농약 양곡 모음,초록숟가락,47770,,,S.COM몰,https://www.ssg.com/item/dealItemView.ssg?itemId=1000570727490&siteNo=6004&salestrNo=6005,https://sitem.ssgcdn.com/90/74/72/item/1000570727490_i1_500.jpg,525,주목할만한 상품,6
1000817528651,SSG 단독! 티즐 제로 레몬말차 사전예약 오픈,웅진식품,8900,,,S.COM몰,https://www.ssg.com/item/dealItemView.ssg?itemId=1000817528651&siteNo=6001&salestrNo=6005,https://sitem.ssgcdn.com/51/86/52/item/1000817528651_i1_500.jpg,0,주목할만한 상품,6
1000045612828,[노스페이스 공식] 간절기 데일리 필수템 / 베이직 티셔츠부터 자켓까지,노스페이스,29018,,신세계백화점,본점,https://www.ssg.com/item/dealItemView.ssg?itemId=1000045612828&siteNo=6009&salestrNo=1002,https://sitem.ssgcdn.com/28/28/61/item/1000045612828_i1_500.jpg,4078,주목할만한 상품,6
